col_1,col_2,col_3,table_index,date,race_num
QUINELLA,"2,3",377.00,0,2023-09-17,7
QUINELLA PLACE,"2,3",111.50,0,2023-09-17,7
"3,4",26.50,,0,2023-09-17,7
"2,4",110.50,,0,2023-09-17,7
FORECAST,"3,2",479.00,0,2023-09-17,7
TIERCE,"3,2,4","1,673.00",0,2023-09-17,7
TRIO,"2,3,4",298.00,0,2023-09-17,7
FIRST 4,"1,2,3,4",195.00,0,2023-09-17,7
QUARTET,"3,2,4,1","5,093.00",0,2023-09-17,7
6TH DOUBLE,11/3,327.00,0,2023-09-17,7
11/2,231.50,,0,2023-09-17,7
Pool,Winning Combination,Dividend (HK$),0,2023-09-17,8
WIN,13,29.00,0,2023-09-17,8
PLACE,13,15.00,0,2023-09-17,8
8,16.50,,0,2023-09-17,8
3,20.50,,0,2023-09-17,8
QUINELLA,"8,13",63.00,0,2023-09-17,8
QUINELLA PLACE,"8,13",30.00,0,2023-09-17,8
"3,13",46.50,,0,2023-09-17,8
"3,8",49.00,,0,2023-09-17,8
FORECAST,"13,8",157.00,0,2023-09-17,8
TIERCE,"13,8,3",678.00,0,2023-09-17,8
TRIO,"3,8,13",135.00,0,2023-09-17,8
FIRST 4,"2,3,8,13",492.00,0,2023-09-17,8
QUARTET,"13,8,3,2","8,433.00",0,2023-09-17,8
7TH DOUBLE,3/13,165.00,0,2023-09-17,8
3/8,16.50,,0,2023-09-17,8
4TH DOUBLE TRIO,"2,3,4/3,8,13","3,967.00",0,2023-09-17,8
Pool,Winning Combination,Dividend (HK$),0,2023-09-17,4
WIN,5,80.50,0,2023-09-17,4
PLACE,5,35.00,0,2023-09-17,4
3,16.00,,0,2023-09-17,4
7,57.00,,0,2023-09-17,4
QUINELLA,"3,5",199.00,0,2023-09-17,4
QUINELLA PLACE,"3,5",70.50,0,2023-09-17,4
"5,7",247.50,,0,2023-09-17,4
"3,7",156.00,,0,2023-09-17,4
FORECAST,"5,3",367.00,0,2023-09-17,4
TIERCE,"5,3,7","5,879.00",0,2023-09-17,4
TRIO,"3,5,7","1,160.00",0,2023-09-17,4
FIRST 4,"3,5,6,7","3,781.00",0,2023-09-17,4
QUARTET,"5,3,7,6","72,553.00",0,2023-09-17,4
3RD DOUBLE,1/5,"2,985.50",0,2023-09-17,4
1/3,281.50,,0,2023-09-17,4
2ND DOUBLE TRIO,"1,4,5/3,5,7","87,426.00",0,2023-09-17,4
Pool,Winning Combination,Dividend (HK$),0,2023-09-17,5
WIN,10,387.00,0,2023-09-17,5
PLACE,10,76.00,0,2023-09-17,5
8,26.50,,0,2023-09-17,5
2,28.00,,0,2023-09-17,5
QUINELLA,"8,10","1,128.00",0,2023-09-17,5
QUINELLA PLACE,"8,10",285.00,0,2023-09-17,5
"2,10",284.00,,0,2023-09-17,5
"2,8",111.50,,0,2023-09-17,5
FORECAST,"10,8","2,564.00",0,2023-09-17,5
TIERCE,"10,8,2","15,984.00",0,2023-09-17,5
TRIO,"2,8,10","2,273.00",0,2023-09-17,5
FIRST 4,"2,4,8,10","6,754.00",0,2023-09-17,5
QUARTET,"10,8,2,4","245,751.00",0,2023-09-17,5
4TH DOUBLE,5/10,"5,035.00",0,2023-09-17,5
5/8,188.50,,0,2023-09-17,5
1ST TREBLE,1/5/10,"92,348.00",0,2023-09-17,5
1/5/8,"6,921.00",,0,2023-09-17,5
Pool,Winning Combination,Dividend (HK$),0,2023-09-17,9
WIN,5,50.00,0,2023-09-17,9
PLACE,5,19.00,0,2023-09-17,9
4,24.00,,0,2023-09-17,9
10,35.50,,0,2023-09-17,9
QUINELLA,"4,5",179.50,0,2023-09-17,9
QUINELLA PLACE,"4,5",69.50,0,2023-09-17,9
"5,10",98.50,,0,2023-09-17,9
"4,10",136.00,,0,2023-09-17,9
FORECAST,"5,4",309.00,0,2023-09-17,9
TIERCE,"5,4,10","2,847.00",0,2023-09-17,9
TRIO,"4,5,10",625.00,0,2023-09-17,9
FIRST 4,"4,5,10,14","2,131.00",0,2023-09-17,9
